id;characteristic_id;service_id;descripcion
1;Small Fresh Chair architect Bond Markets Units European Composite Unit (EURCO);panel Fantastic;Applications
2;Credit Card Account Rubber;Infrastructure Principal;Shoes experiences Fresh
3;Centers SMS Vermont;Seamless;Sleek Rubber Computer definition
4;invoice Representative;orange;alarm
5;Intelligent Fresh Chips;SQL;synthesize
6;compressing;Generic Rubber Bacon Pizza;Dynamic global projection
7;Investment Account SAS;USB parse discrete;Mississippi calculate Rustic
8;Dynamic HTTP;Plastic orchestrate calculating;Designer
9;utilize Maryland;Legacy Representative;Gorgeous Soft Shoes mobile
10;invoice disintermediate Granite;Producer paradigms;extranet bus Tools
